Country,State,County,Location,Population
Abkhazia,"","",Abkhazia::,244832
Afghanistan,"","",Afghanistan::,32225560
Albania,"","",Albania::,2845955
Algeria,"","",Algeria::,43000000
Andorra,"","",Andorra::,77543
Angola,"","",Angola::,31127674
Antigua and Barbuda,"","",Antigua and Barbuda::,96453
Argentina,"","",Argentina::,44938712
Armenia,"","",Armenia::,2957500
Artsakh,"","",Artsakh::,148000
Australia,"","",Australia::,25694245
Austria,"","",Austria::,8902600
Azerbaijan,"","",Azerbaijan::,10067108
Bahamas,"","",Bahamas::,385340
Bahrain,"","",Bahrain::,1543300
Bangladesh,"","",Bangladesh::,168506944
Barbados,"","",Barbados::,287025
Belarus,"","",Belarus::,9408400
Belgium,"","",Belgium::,11524454
Belize,"","",Belize::,408487
Benin,"","",Benin::,11733059
Bhutan,"","",Bhutan::,741672
Bolivia,"","",Bolivia::,11469896
Bosnia and Herzegovina,"","",Bosnia and Herzegovina::,3301000
Botswana,"","",Botswana::,2338851
Brazil,"","",Brazil::,211442625
Brunei,"","",Brunei::,442400
Bulgaria,"","",Bulgaria::,6951482
Burkina Faso,"","",Burkina Faso::,20870060
Burundi,"","",Burundi::,10953317
Cambodia,"","",Cambodia::,15288489
Cameroon,"","",Cameroon::,26545864
Canada,"","",Canada::,38007166
Cape Verde,"","",Cape Verde::,550483
Central African Republic,"","",Central African Republic::,5496011
Chad,"","",Chad::,16244513
Chile,"","",Chile::,19107216
China,"","",China::,1410558940
Colombia,"","",Colombia::,49395678
Comoros,"","",Comoros::,873724
Congo,"","",Congo::,5518092
Costa Rica,"","",Costa Rica::,5058007
Croatia,"","",Croatia::,4076246
Cuba,"","",Cuba::,11209628
Cyprus,"","",Cyprus::,875900
Czech Republic,"","",Czech Republic::,10693939
Denmark,"","",Denmark::,5930968
Djibouti,"","",Djibouti::,1078373
Dominica,"","",Dominica::,71808
Dominican Republic,"","",Dominican Republic::,10358320
DR Congo,"","",DR Congo::,89561404
East Timor,"","",East Timor::,1387149
Ecuador,"","",Ecuador::,17472948
Egypt,"","",Egypt::,100300578
El Salvador,"","",El Salvador::,6486201
Equatorial Guinea,"","",Equatorial Guinea::,1358276
Eritrea,"","",Eritrea::,3497117
Estonia,"","",Estonia::,1328360
Eswatini,"","",Eswatini::,1093238
Ethiopia,"","",Ethiopia::,98665000
F.S. Micronesia,"","",F.S. Micronesia::,104468
Fiji,"","",Fiji::,884887
Finland,"","",Finland::,5557458
France,"","",France::,67697365
Gabon,"","",Gabon::,2172579
Gambia,"","",Gambia::,2347706
Georgia,"","",Georgia::,3723464
Germany,"","",Germany::,83149300
Ghana,"","",Ghana::,30280811
Greece,"","",Greece::,10724599
Grenada,"","",Grenada::,112003
Guatemala,"","",Guatemala::,16604026
Guinea,"","",Guinea::,12218357
Guinea-Bissau,"","",Guinea-Bissau::,1604528
Guyana,"","",Guyana::,782766
Haiti,"","",Haiti::,11577779
Honduras,"","",Honduras::,9158345
Hungary,"","",Hungary::,9772756
Iceland,"","",Iceland::,364260
India,"","",India::,1361503224
Indonesia,"","",Indonesia::,266911900
Iran,"","",Iran::,83396540
Iraq,"","",Iraq::,39127900
Ireland,"","",Ireland::,4921500
Israel,"","",Israel::,9190800
Italy,"","",Italy::,60238522
Ivory Coast,"","",Ivory Coast::,25823071
Jamaica,"","",Jamaica::,2726667
Japan,"","",Japan::,125950000
Jordan,"","",Jordan::,10666772
Kazakhstan,"","",Kazakhstan::,18689256
Kenya,"","",Kenya::,47564296
Kiribati,"","",Kiribati::,120100
Kosovo,"","",Kosovo::,1795666
Kuwait,"","",Kuwait::,4420110
Kyrgyzstan,"","",Kyrgyzstan::,6533500
Laos,"","",Laos::,7123205
Latvia,"","",Latvia::,1906800
Lebanon,"","",Lebanon::,6825442
Lesotho,"","",Lesotho::,2007201
Liberia,"","",Liberia::,4475353
Libya,"","",Libya::,6871287
Liechtenstein,"","",Liechtenstein::,38749
Lithuania,"","",Lithuania::,2793471
Luxembourg,"","",Luxembourg::,626108
Madagascar,"","",Madagascar::,26251309
Malawi,"","",Malawi::,19129952
Malaysia,"","",Malaysia::,32761760
Maldives,"","",Maldives::,374775
Mali,"","",Mali::,20250833
Malta,"","",Malta::,493559
Marshall Islands,"","",Marshall Islands::,55500
Mauritania,"","",Mauritania::,4077347
Mauritius,"","",Mauritius::,1265985
Mexico,"","",Mexico::,126577691
Moldova,"","",Moldova::,2681735
Monaco,"","",Monaco::,38300
Mongolia,"","",Mongolia::,3314524
Montenegro,"","",Montenegro::,622359
Morocco,"","",Morocco::,35879846
Mozambique,"","",Mozambique::,30066648
Myanmar,"","",Myanmar::,54339766
Namibia,"","",Namibia::,2458936
Nauru,"","",Nauru::,11000
Nepal,"","",Nepal::,29996478
Netherlands,"","",Netherlands::,17771019
New Zealand,"","",New Zealand::,4981058
Nicaragua,"","",Nicaragua::,6460411
Niger,"","",Niger::,22314743
Nigeria,"","",Nigeria::,206139587
North Korea,"","",North Korea::,25450000
North Macedonia,"","",North Macedonia::,2077132
Northern Cyprus,"","",Northern Cyprus::,351965
Norway,"","",Norway::,5367580
Oman,"","",Oman::,4664790
Pakistan,"","",Pakistan::,219412520
Palau,"","",Palau::,17900
Palestine,"","",Palestine::,4976684
Panama,"","",Panama::,4218808
Papua New Guinea,"","",Papua New Guinea::,8935000
Paraguay,"","",Paraguay::,7252672
Peru,"","",Peru::,32131400
Philippines,"","",Philippines::,108545308
Poland,"","",Poland::,38379000
Portugal,"","",Portugal::,10276617
Qatar,"","",Qatar::,2747282
Romania,"","",Romania::,19405156
Russia,"","",Russia::,146745098
Rwanda,"","",Rwanda::,12374397
Saint Kitts and Nevis,"","",Saint Kitts and Nevis::,52823
Saint Lucia,"","",Saint Lucia::,178696
Saint Vincent and the Grenadines,"","",Saint Vincent and the Grenadines::,110608
Samoa,"","",Samoa::,200874
San Marino,"","",San Marino::,33574
São Tomé and Príncipe,"","",São Tomé and Príncipe::,201784
Saudi Arabia,"","",Saudi Arabia::,34218169
Senegal,"","",Senegal::,16209125
Serbia,"","",Serbia::,6963764
Seychelles,"","",Seychelles::,97625
Sierra Leone,"","",Sierra Leone::,7901454
Singapore,"","",Singapore::,5703600
Slovakia,"","",Slovakia::,5456362
Slovenia,"","",Slovenia::,2094060
Solomon Islands,"","",Solomon Islands::,680806
Somalia,"","",Somalia::,15893219
South Africa,"","",South Africa::,58775022
South Korea,"","",South Korea::,51780579
South Ossetia,"","",South Ossetia::,53532
South Sudan,"","",South Sudan::,12778250
Spain,"","",Spain::,47100396
Sri Lanka,"","",Sri Lanka::,21803000
Sudan,"","",Sudan::,42456380
Suriname,"","",Suriname::,581372
Sweden,"","",Sweden::,10338368
Switzerland,"","",Switzerland::,8603899
Syria,"","",Syria::,17500657
Taiwan,"","",Taiwan::,23604265
Tajikistan,"","",Tajikistan::,9127000
Tanzania,"","",Tanzania::,55890747
Thailand,"","",Thailand::,66497905
Togo,"","",Togo::,7538000
Tonga,"","",Tonga::,100651
Transnistria,"","",Transnistria::,469000
Trinidad and Tobago,"","",Trinidad and Tobago::,1363985
Tunisia,"","",Tunisia::,11722038
Turkey,"","",Turkey::,83154997
Turkmenistan,"","",Turkmenistan::,6031187
Tuvalu,"","",Tuvalu::,10200
Uganda,"","",Uganda::,40299300
Ukraine,"","",Ukraine::,41858119
United Arab Emirates,"","",United Arab Emirates::,9890400
United Kingdom,"","",United Kingdom::,66435550
Uruguay,"","",Uruguay::,3518552
US,South Carolina,Abbeville,US:South Carolina:Abbeville,25007
US,Louisiana,Acadia,US:Louisiana:Acadia,62204
US,Virginia,Accomack,US:Virginia:Accomack,33148
US,Idaho,Ada,US:Idaho:Ada,416464
US,Iowa,Adair,US:Iowa:Adair,7472
US,Kentucky,Adair,US:Kentucky:Adair,18732
US,Missouri,Adair,US:Missouri:Adair,25572
US,Oklahoma,Adair,US:Oklahoma:Adair,22194
US,Colorado,Adams,US:Colorado:Adams,469193
US,Idaho,Adams,US:Idaho:Adams,3828
